"Name","Address","Description","Latitude","Longitude"
"Missouri Venture Forum (MVF)","Moto Museum, Olive Street, St. Louis, MO, United States","MVF serves entrepreneurs — those leading the growth of earlier stage businesses — through peer networking, topical education and access to capital resources. They attract members and resources whose mission is to support entrepreneurs and grow new businesses. MVF holds a breakfast event every month, which is open to all, featuring networking and a guest speaker.</p><p><a href='https://twitter.com/moventureforum target='_blank'>Twitter</a><br><a href='https://www.facebook.com/mvfSTL target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/groups/mvfSTL-6736106?gid=6736106&trk=vsrp_groups_res_name&trkInfo=VSRPsearchId%3A23967241417038147924%2CVSRPtargetId%3A6736106%2CVSRPcmpt%3Aprimary target='_blank'>Linkedin</a></p>",38.6371702,-90.2296163
"St. Louis Makes","Saint Louis, MO, USA","St. Louis Makes’ mission is to grow manufacturing revenue and employment across the St. Louis region’s manufacturing supply chain.

St. Louis Makes hosts factory tours throughout St. Louis on a monthly basis.</p><p><a href='https://twitter.com/stlouismakes target='_blank'>Twitter</a><br><a href='https://www.facebook.com/StLouisMakes/ target='_blank'>Facebook</a><br><a href='http://ow.ly/Lulbu target='_blank'>Linkedin</a>",38.6105426,-90.3371889
"Regional Growth Capital","7733 Forsyth Blvd, St. Louis, MO, United States","Regional Growth Capital invests in selected, growing companies in Missouri and Illinois that demonstrate significant potential for success. The investment serves as extended bridge financing for organic growth, acquisitions or recapitalizations.",38.6506532,-90.3353141
"Ascension Mobile LLC","2634 Macklind Avenue Suite 100 St. Louis, Mo 63139","Ascension Mobile’s mission is to simplify mobile telecommunications for enterprise applications. 

Ascension Mobile operates in:

Hardware
Simplifies the hardware procurement process by providing cost-effective new and Better-Than-New™ hardware (high-quality refurbished devices), often over  a long horizon (3-5 years).

Carrier/Cost Optimization
Simplifies carrier billing and utilization through our proprietary software solution to provide unparalleled clarity, reducing both out-of-pocket costs and internal costs, while delivering superior and consistent customer service.

Mobile Solutions
Enterprise solutions are not one size fits all.  At Ascension Mobile we work closely with our customers to develop solutions that fit the exact needs of the business.  Pulling from our expertise in mobile hardware, carrier billing, logistics, repair, testing, and customer service, we create the perfect mobile solutions for each customer.",38.6099774302513,-90.2784361295303
"Washington University Skandalaris Center","Washington University in St. Louis, St. Louis, MO, United States","Washington University Skandalaris Center is America's #10 entrepreneurship program. The Olin School of Business gives students hands-on experience and crucial training in the field of entrepreneurship with various majors, programs, workshops, classes, and organizations.</p><p><a href='http://twitter.com/SkandalarisCtr target='_blank'>Twitter</a><br><a href='https://www.facebook.com/SkandalarisCtr/ target='_blank'>Facebook</a></p><br><a href='http://www.linkedin.com/groups/Washington-University-Entrepreneurs-3770040/about target='_blank'>Linkedin</a></p>",38.6487895,-90.3107962
"Savvy Coders","4818 Washington Avenue, St. Louis, MO, United States","<p>Savvy Coders holds classes with the intent to teach the basics of web design and programming. Savvy Coders also hosts a meetup group.</p>",38.6499727,-90.2602052
"Crossbar","119 South Main Street, Saint Charles, MO, United States","<p>Crossbar is a SaaS platform providing management tools, registration and websites for youth sports organizations.</p>",38.7807047,-90.4819897
"PluggedIn HQ","20 S Sarah St, St. Louis, MO, United States","PluggedIn HQ works as a forum for both jobseekers and companies to provide open communication and job postings for the St. Louis community.</p><p><a href='https://twitter.com/pluggedinhq target='_blank'>Twitter</a><br><a href='https://www.facebook.com/pluggedinhq target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/10898350?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10898350%2Cidx%3A2-2-4%2CtarId%3A1478643818672%2Ctas%3Apluggedin target='_blank'>Linkedin</a></p>",38.6362117,-90.2467661
"Missouri S&T Technology Development Center","900 Innovation Drive, Rolla, MO, United States","<p>In January 2011, Missouri University of Science and Technology (Missouri S&amp;T) opened the Technology Development Center at Innovation Park. It is located at 900 Innovation Drive across the street from Phelps County Regional Medical Center off of 10th Street in Rolla, Missouri. The facility provides Class A office suites and shared office space for a variety of clients, particularly technology-oriented tenants. The building is about 22,000 gross square feet with roughly 18,000 square feet of leasable space. The project had a construction budget of approximately $2.5 million. Construction of the facility began in July 2010 and was completed in September 2010. The Technology Development Center was the first building constructed at Innovation Park which is the newly designated research park at Missouri S&amp;T.</p>",37.950676,-91.784256
"Strayos","1920 McCausland Ave, St. Louis, Missouri 63117, USA","<p>Strayos is a computer vision 3D aerial intelligence platform for Mining and Quarry operations to reduce costs, improve productivity and safety by providing highly accurate survey data analytics.</p><p>Strayos proprietary software increases mining company ROIs by automating tasks, directly reducing overhead and enabling enterprises to make actionable decisions from drone data.</p>",38.6222012,-90.3077843
"Blue 1647","4811 Delmar Blvd, St. Louis, MO, United States","BLUE1647 is an entrepreneurship and technology innovation center that fosters economic development in technology and 21st century skills through classes, workshops and events around technology, workforce development and business acceleration.</p><p><a href='https://twitter.com/launch_code target='_blank'>Twitter</a><br><a href='https://www.facebook.com/launchcodestl target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/3334793 target='_blank'>Linkedin</a></p>",38.651606,-90.2592938
"Mayflower Bioscience","1100 Corporate Square Drive, St. Louis, MO, United States","Mayflower Bioscience provides specialized and innovative solutions that include highly validated reagents and assays for scientific research in molecular biology, cellular biology and drug discovery. Our portfolio is designed to either offer improvements in the workflow of research scientists or novel products for new applications in Degenerative Medicine (e.g. Cancer, Neurodegeneration, Cardiovascular disease, Inflammation & Immunity and Metabolic diseases), Regenerative Medicine (e.g. cellular therapies), Biomarker Technologies and Detection (Western blot imaging system).",38.6776737,-90.4004921
"Savvy Coders","4818 Washington Avenue, St. Louis, MO, United States","Savvy Coders holds classes with the intent to teach the basics of web design and programming. Savvy Coders also hosts a meetup group.</p><p><a href='http://twitter.com/savvycoders target='_blank'>Twitter</a><br><a href='https://www.facebook.com/Savvy-Coders-1616883465226928/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/10377788?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10377788%2Cidx%3A2-1-2%2CtarId%3A1453332316324%2Ctas%3Asavvy%20coders target='_blank'>Linkedin</a></p>",38.6499727,-90.2602052
